Date;Group;Series;Value
04/09/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,814
05/09/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,814
08/09/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8153
09/09/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8137
10/09/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8084
11/09/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8137
12/09/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8183
15/09/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,81
16/09/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8104
17/09/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8177
18/09/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8241
19/09/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,822
22/09/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,82
23/09/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8237
24/09/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8316
25/09/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8347
26/09/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8323
29/09/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8313
30/09/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,833
01/10/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8203
02/10/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8234
03/10/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8258
06/10/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8278
07/10/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8319
08/10/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8254
09/10/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8268
10/10/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8268
13/10/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8251
14/10/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8275
15/10/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8288
16/10/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8319
17/10/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8282
20/10/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,823
21/10/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8207
22/10/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,823
23/10/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,823
24/10/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,821
27/10/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8187
28/10/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8207
29/10/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,82
30/10/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8254
31/10/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,822
03/11/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,819
04/11/2003;Currencies against Swedish kronor;1 SEK = ? DKK;0,8224
